R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Cole Smith,Hunter Azure,Blue,Bantamweight,1,1,1,1,288
Alistair Overeem,Augusto Sakai,Red,Heavyweight,11,7,4,0,289
Alessio Di Chirico,Zak Cummings,Blue,Middleweight,3,4,8,4,290
Anthony Smith,Aleksandar Rakic,Blue,LightHeavyweight,8,5,4,1,291
Ricardo Lamas,Bill Algeo,Red,Featherweight,10,6,0,0,292
Robbie Lawler,Neil Magny,Blue,Welterweight,13,8,16,6,293
Ji Yeon Kim,Alexa Grasso,Blue,WomenFlyweight,3,2,3,3,294
Alex Caceres,Austin Springer,Red,Featherweight,11,11,0,0,295
Maki Pitolo,Impa Kasanganay,Blue,Middleweight,1,2,0,0,296
Sean Brady,Christian Aguilera,Red,Welterweight,2,0,1,0,297
Mallory Martin,Hannah Cifers,Red,WomenStrawweight,0,1,2,4,298
Polyana Viana,Emily Whitmire,Red,WomenStrawweight,1,3,2,2,299
Ike Villanueva,Jordan Wright,Blue,LightHeavyweight,0,1,0,0,300
Carlton Minus,Matthew Semelsberger,Blue,Welterweight,0,0,0,0,301
Daniel Rodriguez,Dwight Grant,Red,Welterweight,2,0,2,1,302
Marcin Prachnio,Mike Rodriguez,Blue,LightHeavyweight,0,2,1,3,303
Amanda Lemos,Inoue Mizuki,Red,WomenStrawweight,1,1,1,0,304
Mariya Agapova,Shana Dobson,Blue,WomenFlyweight,1,0,1,3,305
Austin Hubbard,Joe Solecki,Blue,Lightweight,2,2,1,0,306
Pedro Munhoz,Frankie Edgar,Blue,Bantamweight,8,5,17,9,307
Timur Valiev,Trevin Jones,Draw,CatchWeight,0,0,0,0,308
Junior Dos Santos,Jairzinho Rozenstruik,Blue,Heavyweight,15,6,4,1,309
Herbert Burns,Daniel Pineda,Blue,Featherweight,2,0,3,4,310
Felice Herrig,Virna Jandiroba,Blue,WomenStrawweight,5,3,1,1,311
Sean O'Malley,Marlon Vera,Blue,Bantamweight,4,0,9,5,312
John Dodson,Merab Dvalishvili,Blue,Bantamweight,10,6,4,2,313
Stipe Miocic,Daniel Cormier,Red,Heavyweight,13,3,11,3,314
TJ Brown,Danny Chavez,Blue,Featherweight,0,1,0,0,315
Jim Miller,Vinc Pichel,Blue,Lightweight,21,14,5,2,316
Chris Daukaus,Parker Porter,Red,Heavyweight,0,0,0,0,317
Kai Kamaka,Tony Kelley,Red,Featherweight,0,0,0,0,318
Ashley Yoder,Livinha Souza,Blue,WomenStrawweight,2,4,2,1,319
Tim Means,Laureano Staropoli,Red,Welterweight,11,10,2,1,320
Kevin Holland,Joaquin Buckley,Red,Middleweight,4,2,0,0,321
Nasrat Haqparast,Alexander Munoz,Red,Lightweight,3,2,0,0,322
Derrick Lewis,Aleksei Oleinik,Red,Heavyweight,14,5,8,4,323
Yana Kunitskaya,Julija Stoliarenko,Red,WomenBantamweight,2,2,0,1,324
Beneil Dariush,Scott Holtzman,Red,Lightweight,12,5,7,3,325
Maki Pitolo,Darren Stewart,Blue,Middleweight,1,1,4,5,326
Omari Akhmedov,Chris Weidman,Blue,Middleweight,8,4,10,5,327
Youssef Zalal,Peter Barrett,Red,Featherweight,2,0,0,0,328
Irwin Rivera,Ali AlQaisi,Red,Bantamweight,0,1,0,0,329
Gavin Tucker,Justin Jaynes,Red,Featherweight,2,1,1,0,330
Andrew Sanchez,Wellington Turman,Red,Middleweight,4,3,1,1,331
Joanne Calderwood,Jennifer Maia,Blue,WomenFlyweight,6,4,2,2,332
Johnny Munoz,Nate Maness,Blue,Featherweight,0,0,0,0,333
Frankie Saenz,Jonathan Martinez,Blue,Bantamweight,5,4,2,2,334
Jamall Emmers,Vince Cachero,Red,Featherweight,0,1,0,0,335
Vicente Luque,Randy Brown,Red,Welterweight,11,3,6,3,336
Derek Brunson,Edmen Shahbazyan,Red,Middleweight,11,5,4,0,337
Chris Gutierrez,Cody Durden,Draw,Bantamweight,3,1,0,0,338
Lando Vannata,Bobby Green,Blue,Lightweight,3,6,6,6,339
Alex Oliveira,Peter Sobotta,Red,Welterweight,10,7,4,5,340
Robert Whittaker,Darren Till,Red,Middleweight,11,3,6,3,341
Mauricio Rua,Rogerio Nogueira,Red,LightHeavyweight,10,10,6,6,342
Francisco Trinaldo,Jai Herbert,Red,Lightweight,15,6,0,0,343
Carla Esparza,Marina Rodriguez,Red,WomenStrawweight,7,4,2,2,344
Khamzat Chimaev,Rhys McKee,Red,Welterweight,1,0,0,0,345
Paul Craig,Gadzhimurad Antigulov,Red,LightHeavyweight,4,5,2,2,346
Fabricio Werdum,Alexander Gustafsson,Red,Heavyweight,11,6,10,6,347
Tom Aspinall,Jake Collier,Red,Heavyweight,0,0,3,3,348
